Rank,SectionName,Series,SourcePage,Nominal,h_mm,b_mm,tw_mm,tf_mm,r_mm,A_cm2,Ix_cm4,Zx_cm3,UnitMass_kg_m,w_g_kN_m
1,H-150x75x5x7,NARROW,6,150x75,150.0,75.0,5.0,7.0,8.0,17.85,666.0,88.8,14.0,0.13729309999999997
2,H-100x100x6x8,WIDE,2,100x100,100.0,100.0,6.0,8.0,8.0,21.59,378.0,75.6,16.9,0.16573238499999995
3,H-198x99x4.5x7,NARROW,6,200x100,198.0,99.0,4.5,7.0,8.0,22.69,1540.0,156.0,17.8,0.17455837
4,H-175x90x5x8,NARROW,6,175x90,175.0,90.0,5.0,8.0,8.0,22.9,1210.0,138.0,18.0,0.1765197
5,H-148x100x6x9,MEDIUM,4,150x100,148.0,100.0,6.0,9.0,8.0,26.35,1000.0,135.0,20.7,0.20299765499999997
6,H-200x100x5.5x8,NARROW,6,200x100,200.0,100.0,5.5,8.0,8.0,26.67,1810.0,181.0,20.9,0.20495898499999998
7,H-125x125x6.5x9,WIDE,2,125x125,125.0,125.0,6.5,9.0,8.0,30.0,839.0,134.0,23.6,0.23143693999999998
8,H-248x124x5x8,NARROW,6,250x125,248.0,124.0,5.0,8.0,8.0,31.99,3450.0,278.0,25.1,0.246146915
9,H-250x125x6x9,NARROW,6,250x125,250.0,125.0,6.0,9.0,8.0,36.97,3960.0,317.0,29.0,0.28439285000000003
10,H-194x150x6x9,MEDIUM,4,200x150,194.0,150.0,6.0,9.0,8.0,38.11,2630.0,271.0,29.9,0.29321883499999996
11,H-150x150x7x10,WIDE,2,150x150,150.0,150.0,7.0,10.0,8.0,39.65,1620.0,216.0,31.1,0.30498681499999997
12,H-298x149x5.5x8,NARROW,6,300x150,298.0,149.0,5.5,8.0,13.0,40.8,6320.0,424.0,32.0,0.3138128
13,H-300x150x6.5x9,NARROW,6,300x150,300.0,150.0,6.5,9.0,13.0,46.78,7210.0,481.0,36.7,0.359904055
14,H-175x175x7.5x11,WIDE,2,175x175,175.0,175.0,7.5,11.0,13.0,51.43,2900.0,331.0,40.4,0.39618865999999997
15,H-346x174x6x9,NARROW,6,350x175,346.0,174.0,6.0,9.0,13.0,52.45,11000.0,638.0,41.2,0.40403397999999996
16,H-244x175x7x11,MEDIUM,4,250x175,244.0,175.0,7.0,11.0,13.0,55.49,6040.0,495.0,43.6,0.42756994
17,H-350x175x7x11,NARROW,6,350x175,350.0,175.0,7.0,11.0,13.0,62.91,13500.0,771.0,49.4,0.48444850999999994
18,H-200x200x8x12,WIDE,2,200x200,200.0,200.0,8.0,12.0,13.0,63.53,4720.0,472.0,49.9,0.48935183499999996
19,H-294x200x8x12,MEDIUM,4,300x200,294.0,200.0,8.0,12.0,13.0,71.05,11100.0,756.0,55.8,0.5472110699999999
20,H-396x199x7x11,NARROW,6,400x200,396.0,199.0,7.0,11.0,13.0,71.41,19800.0,999.0,56.1,0.5501530649999999
21,H-200x204x12x12,WIDE,2,200x200,200.0,204.0,12.0,12.0,13.0,71.53,4980.0,498.0,56.2,0.55113373
22,H-354x176x8x13,NARROW,6,350x175,354.0,176.0,8.0,13.0,13.0,73.45,16000.0,906.0,57.7,0.565843705
23,H-244x252x11x11,WIDE,2,250x250,244.0,252.0,11.0,11.0,13.0,81.31,8700.0,713.0,63.8,0.62566427
24,H-298x201x9x14,MEDIUM,4,300x200,298.0,201.0,9.0,14.0,13.0,82.03,13100.0,878.0,64.4,0.63154826
25,H-446x199x8x12,NARROW,7,450x200,446.0,199.0,8.0,12.0,13.0,82.97,28100.0,1260.0,65.1,0.6384129149999999
26,H-400x200x8x13,NARROW,6,400x200,400.0,200.0,8.0,13.0,13.0,83.37,23500.0,1170.0,65.4,0.64135491
27,H-208x202x10x16,WIDE,2,200x200,208.0,202.0,10.0,16.0,13.0,83.69,6530.0,628.0,65.7,0.644296905
28,H-248x249x8x13,WIDE,2,250x250,248.0,249.0,8.0,13.0,13.0,83.95,9850.0,794.0,65.9,0.646258235
29,H-336x249x8x12,MEDIUM,4,350x250,336.0,249.0,8.0,12.0,13.0,86.17,18100.0,1070.0,67.6,0.6629295399999998
30,H-250x250x9x14,WIDE,2,250x250,250.0,250.0,9.0,14.0,13.0,91.43,10700.0,860.0,71.8,0.7041174699999999
31,H-404x201x9x15,NARROW,6,400x200,404.0,201.0,9.0,15.0,13.0,95.41,27200.0,1350.0,74.9,0.734518085
32,H-450x200x9x14,NARROW,7,450x200,450.0,200.0,9.0,14.0,13.0,95.43,32900.0,1460.0,74.9,0.734518085
33,H-496x199x9x14,NARROW,7,500x200,496.0,199.0,9.0,14.0,13.0,99.29,40800.0,1650.0,77.9,0.763938035
34,H-340x250x9x14,MEDIUM,4,350x250,340.0,250.0,9.0,14.0,13.0,99.53,21200.0,1250.0,78.1,0.7658993649999999
35,H-250x255x14x14,WIDE,2,250x250,250.0,255.0,14.0,14.0,13.0,103.9,11400.0,912.0,81.6,0.8002226399999999
36,H-456x201x10x17,NARROW,7,450x200,456.0,201.0,10.0,17.0,13.0,112.0,39800.0,1750.0,87.9,0.8620045350000001
37,H-500x200x10x16,NARROW,7,500x200,500.0,200.0,10.0,16.0,13.0,112.3,46800.0,1870.0,88.2,0.86494653
38,H-386x299x9x14,MEDIUM,4,400x300,386.0,299.0,9.0,14.0,13.0,117.4,32900.0,1700.0,92.2,0.90417313
39,H-596x199x10x15,NARROW,7,600x200,596.0,199.0,10.0,15.0,13.0,117.8,66600.0,2240.0,92.5,0.9071151249999999
40,H-506x201x11x19,NARROW,7,500x200,506.0,201.0,11.0,19.0,13.0,129.3,55500.0,2190.0,102.0,1.0002783
41,H-434x299x10x15,MEDIUM,4,450x300,434.0,299.0,10.0,15.0,13.0,131.6,45500.0,2090.0,103.0,1.01008495
42,H-600x200x11x17,NARROW,7,600x200,600.0,200.0,11.0,17.0,13.0,131.7,75600.0,2520.0,103.0,1.01008495
43,H-338x351x13x13,WIDE,3,350x350,338.0,351.0,13.0,13.0,13.0,133.3,27700.0,1640.0,105.0,1.0296982499999998
44,H-390x300x10x16,MEDIUM,4,400x300,390.0,300.0,10.0,16.0,13.0,133.3,37900.0,1940.0,105.0,1.0296982499999998
45,H-482x300x11x15,MEDIUM,4,500x300,482.0,300.0,11.0,15.0,13.0,141.2,58300.0,2420.0,111.0,1.0885381499999998
46,H-344x348x10x16,WIDE,3,350x350,344.0,348.0,10.0,16.0,13.0,144.0,32800.0,1910.0,113.0,1.1081514499999998
47,H-606x201x12x20,NARROW,7,600x200,606.0,201.0,12.0,20.0,13.0,149.8,88300.0,2910.0,118.0,1.1571847
48,H-440x300x11x18,MEDIUM,4,450x300,440.0,300.0,11.0,18.0,13.0,153.9,54700.0,2490.0,121.0,1.18660465
49,H-488x300x11x18,MEDIUM,4,500x300,488.0,300.0,11.0,18.0,13.0,159.2,68900.0,2820.0,125.0,1.22583125
50,H-344x354x16x16,WIDE,3,350x350,344.0,354.0,16.0,16.0,13.0,164.7,34900.0,2030.0,129.0,1.2650578499999998
51,H-612x202x13x23,NARROW,7,600x200,612.0,202.0,13.0,23.0,13.0,168.0,101000.0,3310.0,132.0,1.2944778
52,H-582x300x12x17,MEDIUM,5,600x300,582.0,300.0,12.0,17.0,13.0,169.2,98900.0,3400.0,133.0,1.30428445
53,H-350x350x12x19,WIDE,3,350x350,350.0,350.0,12.0,19.0,13.0,171.9,39800.0,2280.0,135.0,1.3238977499999998
54,H-388x402x15x15,WIDE,3,400x400,388.0,402.0,15.0,15.0,22.0,178.5,49000.0,2520.0,140.0,1.372931
55,H-446x302x13x21,MEDIUM,4,450x300,446.0,302.0,13.0,21.0,13.0,180.8,65000.0,2920.0,142.0,1.3925443
56,H-394x398x11x18,WIDE,3,400x400,394.0,398.0,11.0,18.0,22.0,186.8,56100.0,2850.0,147.0,1.4415775499999999
57,H-494x302x13x21,MEDIUM,4,500x300,494.0,302.0,13.0,21.0,13.0,187.1,81700.0,3310.0,147.0,1.4415775499999999
58,H-588x300x12x20,MEDIUM,5,600x300,588.0,300.0,12.0,20.0,13.0,187.2,114000.0,3890.0,147.0,1.4415775499999999
59,H-350x357x19x19,WIDE,3,350x350,350.0,357.0,19.0,19.0,13.0,196.4,42300.0,2420.0,154.0,1.5102240999999998
60,H-356x352x14x22,WIDE,3,350x350,356.0,352.0,14.0,22.0,13.0,200.0,47100.0,2650.0,157.0,1.53964405
61,H-692x300x13x20,MEDIUM,5,700x300,692.0,300.0,13.0,20.0,18.0,207.5,168000.0,4870.0,163.0,1.5984839499999999
62,H-394x405x18x18,WIDE,3,400x400,394.0,405.0,18.0,18.0,22.0,214.4,59700.0,3030.0,168.0,1.6475172
63,H-594x302x14x23,MEDIUM,5,600x300,594.0,302.0,14.0,23.0,13.0,217.1,134000.0,4500.0,170.0,1.6671305
64,H-400x400x13x21,WIDE,3,400x400,400.0,400.0,13.0,21.0,22.0,218.7,66600.0,3330.0,172.0,1.6867438
